project_type,location_tier,total_area_sqft,num_floors,structure_type,material_quality,num_workers,site_condition,cost_inr,duration_days
Commercial,Tier3,46512,4,Load Bearing,Standard,50,Easy,78083000.0,1500.0
Commercial,Tier1,1111,19,Prefabricated,Basic,130,Difficult,3633000.0,30.0
Industrial,Tier3,31048,13,RCC,Basic,105,Difficult,53261000.0,789.0
Infrastructure,Tier2,42526,1,Prefabricated,Premium,44,Easy,162164000.0,977.0
Infrastructure,Tier1,4507,10,RCC,Basic,98,Difficult,11872000.0,98.0
Residential,Tier2,26330,15,RCC,Premium,37,Easy,129100000.0,1432.0
Residential,Tier2,3604,15,Prefabricated,Standard,70,Moderate,11115000.0,97.0
Infrastructure,Tier2,29567,15,RCC,Standard,110,Difficult,91144000.0,735.0
Residential,Tier2,28488,15,RCC,Basic,116,Difficult,59894000.0,636.0
Infrastructure,Tier3,21171,4,Steel Frame,Basic,78,Moderate,30528000.0,366.0
Residential,Tier3,34505,13,Steel Frame,Basic,188,Difficult,73259000.0,401.0
Commercial,Tier2,33277,8,Prefabricated,Basic,17,Moderate,62228000.0,1500.0
Commercial,Tier3,49323,20,Prefabricated,Standard,87,Moderate,131198000.0,1196.0
Infrastructure,Tier3,6343,5,Load Bearing,Premium,131,Easy,15653000.0,88.0
Infrastructure,Tier1,33189,1,RCC,Standard,96,Moderate,92461000.0,464.0
Industrial,Tier1,28375,15,RCC,Standard,148,Easy,112318000.0,386.0
Industrial,Tier2,43317,20,Prefabricated,Basic,33,Easy,107710000.0,1500.0
Industrial,Tier1,17162,15,RCC,Standard,140,Easy,59311000.0,269.0
Industrial,Tier2,29095,3,Prefabricated,Premium,191,Moderate,121786000.0,201.0
Residential,Tier1,9397,11,RCC,Premium,128,Easy,53298000.0,153.0
Industrial,Tier3,46299,8,RCC,Premium,105,Moderate,155425000.0,802.0
Residential,Tier3,25806,6,RCC,Premium,187,Easy,81448000.0,238.0
Residential,Tier2,35105,14,Steel Frame,Premium,171,Easy,200956000.0,369.0
Commercial,Tier1,26497,12,Steel Frame,Standard,111,Easy,110376000.0,410.0
Industrial,Tier3,9154,4,Prefabricated,Premium,162,Difficult,31230000.0,83.0
Residential,Tier1,19610,18,RCC,Basic,72,Easy,50981000.0,674.0
Infrastructure,Tier2,33976,9,Prefabricated,Premium,189,Easy,155872000.0,285.0
Infrastructure,Tier1,23949,15,RCC,Basic,126,Difficult,71385000.0,503.0
Infrastructure,Tier1,22811,14,RCC,Basic,178,Moderate,55362000.0,287.0
Residential,Tier2,13961,10,Load Bearing,Basic,130,Moderate,24345000.0,248.0
Infrastructure,Tier1,33065,13,RCC,Standard,140,Easy,114331000.0,438.0
Residential,Tier1,47259,6,RCC,Standard,135,Moderate,166148000.0,622.0
Industrial,Tier1,32371,13,Load Bearing,Basic,20,Difficult,85392000.0,1500.0
Commercial,Tier3,16205,9,Prefabricated,Basic,48,Difficult,29207000.0,608.0
Industrial,Tier1,42578,4,Load Bearing,Premium,55,Easy,170213000.0,1190.0
Residential,Tier1,755,17,Prefabricated,Standard,126,Difficult,3813000.0,30.0
Residential,Tier1,1132,6,Steel Frame,Standard,95,Easy,4481000.0,30.0
Infrastructure,Tier2,3063,7,RCC,Basic,93,Difficult,5683000.0,64.0
Residential,Tier1,44656,17,RCC,Basic,169,Difficult,140204000.0,777.0
Residential,Tier2,1091,1,Load Bearing,Premium,158,Difficult,3940000.0,30.0
Infrastructure,Tier1,20276,2,RCC,Premium,22,Moderate,97692000.0,1366.0
Residential,Tier1,32206,16,Load Bearing,Premium,188,Easy,187735000.0,440.0
Industrial,Tier1,41454,11,Load Bearing,Basic,166,Moderate,93722000.0,628.0
Commercial,Tier1,47815,16,Prefabricated,Basic,180,Easy,130971000.0,503.0
Infrastructure,Tier2,13158,12,RCC,Basic,141,Difficult,30041000.0,206.0
Industrial,Tier3,42892,17,Prefabricated,Premium,129,Moderate,186012000.0,669.0
Residential,Tier2,36680,3,Steel Frame,Standard,191,Moderate,100863000.0,300.0
Commercial,Tier1,44039,10,Steel Frame,Basic,173,Easy,131474000.0,394.0
Industrial,Tier3,13026,19,Load Bearing,Standard,102,Easy,28234000.0,339.0
Industrial,Tier3,46228,14,RCC,Basic,110,Moderate,72571000.0,1024.0
Industrial,Tier3,5834,16,RCC,Basic,46,Moderate,8950000.0,311.0
Infrastructure,Tier3,12263,8,Prefabricated,Basic,13,Easy,18967000.0,1376.0
Residential,Tier2,33159,4,Prefabricated,Premium,45,Easy,118596000.0,863.0
Residential,Tier3,30515,17,Load Bearing,Standard,11,Moderate,70785000.0,1500.0
Industrial,Tier2,45628,10,Prefabricated,Basic,91,Easy,83883000.0,810.0
Infrastructure,Tier1,44176,11,Prefabricated,Standard,107,Difficult,196166000.0,776.0
Industrial,Tier2,19459,5,RCC,Premium,26,Easy,68831000.0,1227.0
Infrastructure,Tier3,25806,19,RCC,Basic,86,Difficult,46059000.0,813.0
Infrastructure,Tier1,41328,10,RCC,Basic,49,Easy,100368000.0,1444.0
Industrial,Tier3,3711,8,RCC,Basic,98,Moderate,5163000.0,66.0
Infrastructure,Tier1,23325,9,Prefabricated,Basic,60,Difficult,65741000.0,772.0
Commercial,Tier2,34857,10,Prefabricated,Standard,30,Easy,93782000.0,1500.0
Infrastructure,Tier2,4979,16,Steel Frame,Standard,46,Moderate,17277000.0,234.0
Residential,Tier2,46125,3,Prefabricated,Basic,195,Moderate,83442000.0,326.0
Commercial,Tier2,29281,19,Prefabricated,Basic,7,Easy,68531000.0,1500.0
Industrial,Tier1,18814,2,Steel Frame,Standard,84,Moderate,70573000.0,308.0
Industrial,Tier3,49645,5,RCC,Basic,74,Difficult,69135000.0,1179.0
Commercial,Tier3,18187,18,Steel Frame,Basic,123,Easy,36227000.0,338.0
Infrastructure,Tier2,21000,1,RCC,Premium,58,Moderate,78494000.0,557.0
Commercial,Tier1,2079,9,Load Bearing,Premium,156,Moderate,10345000.0,32.0
Industrial,Tier3,42239,3,RCC,Basic,56,Easy,50301000.0,1158.0
Infrastructure,Tier1,30632,10,Prefabricated,Standard,86,Easy,121904000.0,601.0
Residential,Tier2,13450,4,Steel Frame,Basic,78,Easy,23727000.0,254.0
Industrial,Tier1,35166,17,RCC,Premium,39,Difficult,236960000.0,1500.0
Infrastructure,Tier1,26488,7,Load Bearing,Basic,56,Easy,53313000.0,796.0
Residential,Tier1,17293,19,Steel Frame,Standard,125,Easy,84799000.0,322.0
Infrastructure,Tier3,1455,13,Steel Frame,Premium,186,Difficult,7178000.0,30.0
Industrial,Tier1,49476,11,Steel Frame,Standard,7,Moderate,203085000.0,1500.0
Industrial,Tier1,47117,19,RCC,Standard,170,Moderate,189540000.0,727.0
Industrial,Tier1,40847,13,Steel Frame,Premium,22,Moderate,290463000.0,1500.0
Residential,Tier2,33389,4,Prefabricated,Standard,73,Easy,84873000.0,601.0
Infrastructure,Tier1,33012,10,Prefabricated,Standard,79,Difficult,154563000.0,843.0
Commercial,Tier3,3787,14,Steel Frame,Basic,101,Difficult,7722000.0,84.0
Residential,Tier1,46741,2,Load Bearing,Standard,187,Moderate,126906000.0,433.0
Commercial,Tier3,5506,11,RCC,Basic,175,Difficult,8818000.0,72.0
Infrastructure,Tier2,4249,5,RCC,Basic,48,Moderate,6893000.0,157.0
Infrastructure,Tier2,6135,17,RCC,Basic,159,Easy,12137000.0,88.0
Commercial,Tier1,20853,7,RCC,Basic,133,Moderate,45860000.0,300.0
Infrastructure,Tier2,7563,2,Load Bearing,Standard,70,Difficult,18491000.0,197.0
Infrastructure,Tier1,44139,2,RCC,Standard,67,Difficult,144034000.0,1096.0
Residential,Tier2,24290,19,Load Bearing,Standard,75,Moderate,67626000.0,890.0
Industrial,Tier2,44812,2,RCC,Premium,82,Moderate,157080000.0,795.0
Commercial,Tier2,13934,9,Prefabricated,Basic,103,Moderate,27129000.0,230.0
Residential,Tier2,38793,20,RCC,Standard,166,Difficult,146412000.0,760.0
Infrastructure,Tier3,42143,15,RCC,Basic,111,Difficult,75586000.0,1044.0
Industrial,Tier3,23879,3,Load Bearing,Basic,17,Easy,27296000.0,1500.0
Infrastructure,Tier2,35832,17,RCC,Standard,57,Moderate,111866000.0,1500.0
Commercial,Tier1,27629,1,Steel Frame,Premium,154,Moderate,153308000.0,217.0
Industrial,Tier3,6502,13,Prefabricated,Basic,138,Moderate,12246000.0,100.0
Industrial,Tier2,30287,4,RCC,Standard,80,Moderate,65739000.0,577.0
Residential,Tier3,15701,8,Steel Frame,Basic,150,Difficult,27775000.0,185.0
Infrastructure,Tier3,38007,5,Steel Frame,Premium,172,Difficult,147472000.0,398.0
Residential,Tier2,4201,10,RCC,Standard,170,Difficult,12243000.0,55.0
Commercial,Tier2,20165,6,Prefabricated,Standard,74,Moderate,53119000.0,453.0
Infrastructure,Tier1,15931,11,Prefabricated,Basic,158,Difficult,46696000.0,189.0
Industrial,Tier3,34275,2,Prefabricated,Premium,164,Moderate,113964000.0,293.0
Industrial,Tier2,6571,5,Steel Frame,Standard,49,Easy,17619000.0,201.0
Industrial,Tier2,15110,3,RCC,Premium,77,Difficult,62300000.0,318.0
Commercial,Tier2,23926,1,RCC,Premium,51,Moderate,88127000.0,698.0
Infrastructure,Tier2,4139,5,Load Bearing,Premium,6,Difficult,14606000.0,1323.0
Residential,Tier2,15237,19,Steel Frame,Basic,160,Easy,35002000.0,198.0
Industrial,Tier2,29518,20,Steel Frame,Basic,132,Easy,76281000.0,496.0
Residential,Tier1,11318,16,Prefabricated,Standard,132,Moderate,47887000.0,163.0
Commercial,Tier1,47119,1,Steel Frame,Premium,128,Moderate,261445000.0,515.0
Infrastructure,Tier3,33989,6,Prefabricated,Premium,106,Easy,116002000.0,477.0
Commercial,Tier2,33984,2,Steel Frame,Basic,162,Moderate,68430000.0,303.0
Infrastructure,Tier1,42809,15,Steel Frame,Basic,42,Difficult,143225000.0,1500.0
Infrastructure,Tier2,49860,11,Load Bearing,Premium,55,Easy,195391000.0,1500.0
Infrastructure,Tier1,44759,5,Load Bearing,Standard,195,Easy,114803000.0,418.0
Infrastructure,Tier3,20616,6,RCC,Standard,40,Easy,38903000.0,827.0
Residential,Tier1,49275,5,Steel Frame,Standard,69,Difficult,189504000.0,1155.0
Residential,Tier1,47854,12,Steel Frame,Premium,173,Easy,343465000.0,475.0
Infrastructure,Tier3,46870,5,Load Bearing,Premium,16,Difficult,127220000.0,1500.0
Infrastructure,Tier3,5369,5,Load Bearing,Basic,145,Easy,5679000.0,65.0
Industrial,Tier2,45973,19,RCC,Basic,162,Easy,88458000.0,751.0
Residential,Tier3,11401,16,Steel Frame,Basic,175,Easy,22643000.0,122.0
Residential,Tier2,46810,2,Load Bearing,Premium,188,Difficult,164223000.0,462.0
Industrial,Tier1,21435,5,Load Bearing,Basic,135,Easy,39061000.0,298.0
Residential,Tier1,30839,9,RCC,Standard,83,Moderate,114621000.0,794.0
Commercial,Tier2,37770,14,Prefabricated,Basic,193,Easy,83741000.0,384.0
Commercial,Tier1,18996,8,RCC,Premium,57,Moderate,105186000.0,685.0
Residential,Tier3,7044,7,RCC,Basic,173,Difficult,10223000.0,84.0
Residential,Tier2,48890,14,Prefabricated,Premium,127,Difficult,286385000.0,765.0
Commercial,Tier2,25335,15,Prefabricated,Premium,22,Difficult,142029000.0,1500.0
Infrastructure,Tier3,19077,20,Steel Frame,Basic,141,Moderate,42927000.0,340.0
Industrial,Tier2,13337,7,Steel Frame,Basic,128,Easy,29170000.0,164.0
Residential,Tier3,32212,15,Prefabricated,Premium,192,Moderate,137003000.0,377.0
Infrastructure,Tier3,17448,11,Load Bearing,Basic,153,Easy,22943000.0,250.0
Commercial,Tier1,24618,17,RCC,Basic,19,Easy,62196000.0,1500.0
Infrastructure,Tier2,49217,10,Prefabricated,Basic,104,Easy,94880000.0,709.0
Residential,Tier3,17552,14,Load Bearing,Premium,103,Moderate,57829000.0,460.0
Industrial,Tier2,13649,8,RCC,Premium,183,Easy,52780000.0,131.0
Infrastructure,Tier2,16339,20,Load Bearing,Premium,11,Moderate,81482000.0,1500.0
Infrastructure,Tier1,22094,8,RCC,Premium,21,Difficult,135369000.0,1500.0
Commercial,Tier3,32276,19,Steel Frame,Basic,133,Difficult,77674000.0,641.0
Commercial,Tier2,6983,14,RCC,Basic,48,Difficult,15288000.0,397.0
Residential,Tier3,6180,1,RCC,Premium,115,Difficult,18990000.0,88.0
Industrial,Tier2,3375,2,Load Bearing,Basic,156,Easy,4648000.0,35.0
Residential,Tier3,5873,18,Prefabricated,Basic,5,Easy,10863000.0,1500.0
Infrastructure,Tier2,8061,4,RCC,Premium,61,Moderate,31830000.0,229.0
Commercial,Tier2,41449,9,Steel Frame,Premium,52,Difficult,245426000.0,1500.0
Industrial,Tier2,37777,2,RCC,Premium,116,Easy,137740000.0,439.0
Residential,Tier1,29422,4,RCC,Premium,125,Difficult,160040000.0,401.0
Infrastructure,Tier1,16310,3,Steel Frame,Basic,26,Easy,35508000.0,825.0
Infrastructure,Tier2,46743,12,Prefabricated,Basic,26,Moderate,93655000.0,1500.0
Industrial,Tier1,5502,10,Prefabricated,Basic,98,Moderate,13777000.0,102.0
Commercial,Tier3,4549,4,RCC,Standard,73,Moderate,8249000.0,109.0
Commercial,Tier3,9576,15,Load Bearing,Standard,30,Difficult,22803000.0,922.0
Infrastructure,Tier1,42818,17,Prefabricated,Premium,126,Moderate,302749000.0,682.0
Commercial,Tier1,41165,7,RCC,Basic,95,Difficult,97438000.0,812.0
Industrial,Tier3,15283,1,RCC,Basic,10,Difficult,21976000.0,1500.0
Residential,Tier1,32036,4,Prefabricated,Basic,167,Moderate,70079000.0,277.0
Infrastructure,Tier3,39058,14,Load Bearing,Standard,22,Easy,78737000.0,1500.0
Industrial,Tier3,23708,11,Load Bearing,Standard,36,Difficult,55659000.0,1500.0
Commercial,Tier3,8934,4,Prefabricated,Basic,47,Difficult,13188000.0,263.0
Industrial,Tier3,16131,18,Steel Frame,Basic,29,Easy,30288000.0,1297.0
Commercial,Tier3,24644,8,RCC,Basic,160,Moderate,35915000.0,315.0
Infrastructure,Tier2,43328,8,RCC,Standard,49,Difficult,120990000.0,1500.0
Infrastructure,Tier1,31691,17,Steel Frame,Standard,150,Easy,142122000.0,396.0
Residential,Tier1,46416,20,Prefabricated,Standard,197,Difficult,223740000.0,623.0
Residential,Tier1,4925,4,Load Bearing,Basic,73,Moderate,9264000.0,118.0
Industrial,Tier2,19664,7,Steel Frame,Premium,13,Easy,100982000.0,1500.0
Residential,Tier3,844,20,RCC,Premium,34,Difficult,3916000.0,78.0
Industrial,Tier2,18618,7,RCC,Premium,184,Moderate,78375000.0,182.0
Residential,Tier3,14245,14,Load Bearing,Basic,126,Easy,19265000.0,243.0
Residential,Tier1,13542,4,Prefabricated,Basic,171,Easy,28890000.0,100.0
Commercial,Tier2,7370,20,RCC,Standard,55,Easy,23299000.0,348.0
Industrial,Tier3,38294,3,Load Bearing,Basic,85,Moderate,45635000.0,829.0
Residential,Tier1,42284,5,RCC,Standard,52,Moderate,131437000.0,1500.0
Residential,Tier2,48511,15,RCC,Premium,16,Moderate,225965000.0,1500.0
Industrial,Tier3,16532,9,Load Bearing,Premium,167,Moderate,50960000.0,209.0
Infrastructure,Tier3,38344,10,RCC,Basic,52,Moderate,53395000.0,1500.0
Industrial,Tier2,23740,1,Prefabricated,Premium,94,Moderate,89196000.0,279.0
Commercial,Tier1,11661,3,Load Bearing,Premium,12,Easy,45691000.0,1500.0
Infrastructure,Tier2,12244,3,Load Bearing,Premium,65,Moderate,41782000.0,354.0
Residential,Tier2,23188,4,Steel Frame,Premium,57,Difficult,107114000.0,699.0
Infrastructure,Tier3,40075,17,RCC,Premium,144,Difficult,178497000.0,833.0
Residential,Tier2,36697,16,Load Bearing,Basic,194,Difficult,74216000.0,562.0
Infrastructure,Tier2,49589,5,Steel Frame,Standard,158,Easy,134627000.0,476.0
Infrastructure,Tier2,31027,18,RCC,Standard,57,Easy,90562000.0,1190.0
Industrial,Tier3,9428,1,Steel Frame,Basic,131,Moderate,14293000.0,96.0
Residential,Tier2,25533,1,Steel Frame,Standard,123,Moderate,73266000.0,254.0
Commercial,Tier3,11544,10,Steel Frame,Premium,57,Moderate,52048000.0,354.0
Residential,Tier1,21325,14,Steel Frame,Basic,60,Easy,62214000.0,677.0
Residential,Tier2,41174,6,Steel Frame,Standard,150,Moderate,123221000.0,407.0
Infrastructure,Tier3,33437,11,Load Bearing,Standard,131,Easy,62354000.0,574.0
Infrastructure,Tier3,26461,20,Load Bearing,Premium,37,Easy,95915000.0,1500.0
Industrial,Tier1,14912,10,Prefabricated,Basic,182,Difficult,47356000.0,142.0
Infrastructure,Tier2,14606,20,Steel Frame,Standard,31,Easy,49824000.0,1080.0
Infrastructure,Tier2,49298,6,Steel Frame,Basic,131,Moderate,100564000.0,580.0
Commercial,Tier1,10606,6,Prefabricated,Premium,128,Moderate,64991000.0,124.0
Infrastructure,Tier1,4049,7,Steel Frame,Basic,125,Easy,11565000.0,48.0
Residential,Tier2,533,1,Steel Frame,Premium,66,Easy,2364000.0,30.0
Commercial,Tier3,22809,12,RCC,Premium,27,Easy,83783000.0,1500.0
Residential,Tier2,16900,3,Steel Frame,Basic,93,Difficult,35060000.0,277.0
Commercial,Tier2,16285,14,Steel Frame,Premium,99,Moderate,90627000.0,374.0
Industrial,Tier3,49688,20,RCC,Basic,132,Moderate,85598000.0,949.0
Commercial,Tier3,18916,6,RCC,Standard,110,Moderate,39464000.0,329.0
Industrial,Tier1,29805,4,Prefabricated,Basic,181,Easy,67354000.0,230.0
Commercial,Tier3,36489,7,Load Bearing,Standard,180,Difficult,71795000.0,474.0
Industrial,Tier2,28175,4,Steel Frame,Premium,84,Easy,113212000.0,433.0
Commercial,Tier2,12835,16,Steel Frame,Standard,139,Moderate,49459000.0,203.0
Commercial,Tier1,4171,14,Load Bearing,Basic,85,Difficult,10932000.0,145.0
Commercial,Tier2,20059,4,RCC,Basic,33,Difficult,34609000.0,1090.0
Industrial,Tier2,982,16,RCC,Standard,30,Difficult,3219000.0,92.0
Infrastructure,Tier2,28110,18,RCC,Premium,194,Easy,136144000.0,374.0
Infrastructure,Tier2,44674,9,Steel Frame,Standard,5,Easy,130699000.0,1500.0
Industrial,Tier2,2148,11,RCC,Standard,121,Moderate,5956000.0,34.0
Infrastructure,Tier2,11981,11,RCC,Premium,118,Moderate,57284000.0,228.0
Commercial,Tier1,23072,20,Load Bearing,Basic,196,Moderate,61596000.0,337.0
Industrial,Tier2,37044,13,Steel Frame,Premium,28,Difficult,221837000.0,1500.0
Residential,Tier1,23334,10,Prefabricated,Premium,29,Difficult,156655000.0,1500.0
Infrastructure,Tier1,30655,12,RCC,Premium,176,Moderate,184024000.0,372.0
Infrastructure,Tier1,47073,16,RCC,Basic,65,Moderate,136696000.0,1500.0
Commercial,Tier1,12407,10,Prefabricated,Premium,45,Easy,73240000.0,415.0
Infrastructure,Tier1,47808,16,Load Bearing,Basic,188,Difficult,128527000.0,701.0
Industrial,Tier3,7348,16,RCC,Standard,22,Moderate,18480000.0,782.0
Industrial,Tier3,20447,13,RCC,Standard,11,Moderate,48746000.0,1500.0
Industrial,Tier2,46230,9,RCC,Basic,136,Difficult,92749000.0,735.0
Industrial,Tier3,33259,18,Steel Frame,Premium,176,Difficult,165660000.0,494.0
Residential,Tier1,39081,3,RCC,Premium,27,Difficult,211250000.0,1500.0
Infrastructure,Tier3,43402,9,Steel Frame,Standard,97,Difficult,134262000.0,799.0
Commercial,Tier1,39245,2,Prefabricated,Standard,171,Easy,128374000.0,285.0
Commercial,Tier1,17183,16,Load Bearing,Premium,143,Moderate,99972000.0,337.0
Residential,Tier1,29496,11,Prefabricated,Standard,117,Easy,108095000.0,413.0
Commercial,Tier3,34192,19,Load Bearing,Basic,199,Easy,54487000.0,445.0
Industrial,Tier2,19834,10,Prefabricated,Basic,63,Easy,37943000.0,550.0
Commercial,Tier3,31343,16,Steel Frame,Standard,111,Difficult,105860000.0,619.0
Industrial,Tier3,44066,11,RCC,Basic,76,Easy,62868000.0,1229.0
Industrial,Tier1,29426,20,RCC,Basic,44,Moderate,91073000.0,1500.0
Industrial,Tier1,28924,11,RCC,Premium,89,Difficult,192726000.0,781.0
Industrial,Tier1,43053,6,Prefabricated,Premium,102,Difficult,283080000.0,734.0
Commercial,Tier1,19618,5,RCC,Basic,15,Moderate,39069000.0,1500.0
Residential,Tier2,25611,13,Load Bearing,Standard,36,Moderate,69630000.0,1500.0
Industrial,Tier2,16043,4,RCC,Basic,62,Moderate,26102000.0,459.0
Infrastructure,Tier2,33971,2,Steel Frame,Basic,188,Moderate,68109000.0,261.0
Infrastructure,Tier2,49692,13,Prefabricated,Standard,140,Easy,148171000.0,643.0
Residential,Tier1,42413,4,Steel Frame,Basic,12,Difficult,117727000.0,1500.0
Infrastructure,Tier2,27023,5,RCC,Basic,42,Difficult,46511000.0,1314.0
Residential,Tier1,35430,15,Load Bearing,Standard,104,Moderate,120951000.0,917.0
Industrial,Tier1,5246,13,RCC,Standard,172,Easy,18509000.0,59.0
Infrastructure,Tier2,31908,7,RCC,Premium,175,Easy,125979000.0,303.0
Commercial,Tier1,47485,14,Prefabricated,Premium,155,Moderate,316231000.0,598.0
Commercial,Tier2,1048,2,Prefabricated,Premium,131,Moderate,4140000.0,30.0
Industrial,Tier1,25887,11,Prefabricated,Standard,46,Moderate,106602000.0,991.0
Residential,Tier3,5281,9,Load Bearing,Premium,143,Difficult,17818000.0,89.0
Commercial,Tier3,5844,19,Load Bearing,Standard,163,Difficult,15110000.0,127.0
Residential,Tier1,16624,4,Steel Frame,Standard,184,Moderate,60949000.0,134.0
Residential,Tier3,9493,10,Prefabricated,Basic,171,Easy,15586000.0,85.0
Industrial,Tier2,2526,19,Steel Frame,Premium,54,Difficult,18037000.0,135.0
Residential,Tier1,21303,5,Steel Frame,Premium,162,Moderate,121676000.0,184.0
Infrastructure,Tier2,16253,2,Load Bearing,Premium,162,Easy,47333000.0,141.0
Industrial,Tier3,8502,10,Prefabricated,Premium,189,Easy,30524000.0,71.0
Commercial,Tier3,36533,4,Steel Frame,Premium,144,Moderate,121461000.0,381.0
Infrastructure,Tier2,3939,9,Load Bearing,Basic,172,Difficult,7059000.0,55.0
Industrial,Tier2,29701,16,Load Bearing,Basic,196,Difficult,63718000.0,426.0
Residential,Tier1,7858,18,Steel Frame,Standard,15,Moderate,39950000.0,1146.0
Industrial,Tier3,24961,16,Load Bearing,Standard,68,Easy,53587000.0,853.0
Commercial,Tier3,43015,5,Steel Frame,Premium,66,Difficult,163100000.0,1178.0
Commercial,Tier1,39250,18,Prefabricated,Premium,149,Difficult,283481000.0,583.0
Infrastructure,Tier1,40520,17,Steel Frame,Standard,92,Difficult,209014000.0,1090.0
Industrial,Tier2,18586,17,Steel Frame,Standard,114,Easy,63024000.0,370.0
Infrastructure,Tier2,40653,18,Load Bearing,Premium,197,Easy,186766000.0,548.0
Commercial,Tier3,47682,19,RCC,Premium,189,Moderate,182781000.0,660.0
Infrastructure,Tier2,16192,11,Steel Frame,Basic,19,Easy,36484000.0,1500.0
Industrial,Tier1,9682,14,Steel Frame,Basic,154,Difficult,35930000.0,147.0
Commercial,Tier1,19811,10,Steel Frame,Standard,82,Easy,79508000.0,426.0
Commercial,Tier1,27275,17,Steel Frame,Standard,187,Moderate,122582000.0,328.0
Infrastructure,Tier3,11639,20,Prefabricated,Premium,10,Moderate,54357000.0,1500.0
Industrial,Tier1,16397,6,Prefabricated,Premium,26,Difficult,110844000.0,944.0
Residential,Tier2,42694,18,RCC,Standard,133,Easy,125940000.0,770.0
Infrastructure,Tier2,25917,1,Load Bearing,Basic,97,Easy,33840000.0,424.0
Residential,Tier3,20301,16,Load Bearing,Basic,180,Difficult,34327000.0,309.0
Commercial,Tier1,4005,17,Load Bearing,Standard,34,Difficult,16632000.0,342.0
Commercial,Tier1,30076,14,Steel Frame,Basic,115,Easy,91153000.0,496.0
Residential,Tier1,49557,1,RCC,Standard,180,Difficult,155820000.0,466.0
Residential,Tier1,16055,16,RCC,Premium,194,Difficult,106627000.0,242.0
Industrial,Tier2,16548,16,RCC,Standard,124,Moderate,51952000.0,320.0
Residential,Tier2,17360,8,Steel Frame,Basic,12,Easy,36212000.0,1500.0
Commercial,Tier2,8000,8,Steel Frame,Basic,137,Difficult,19748000.0,106.0
Industrial,Tier3,29772,1,Prefabricated,Basic,7,Difficult,41767000.0,1500.0
Commercial,Tier2,21518,15,Prefabricated,Premium,20,Moderate,111545000.0,1500.0
Residential,Tier3,37724,9,Prefabricated,Basic,178,Moderate,60360000.0,349.0
Industrial,Tier3,24231,1,Prefabricated,Standard,155,Moderate,51165000.0,196.0
Industrial,Tier2,10764,9,RCC,Standard,32,Difficult,32622000.0,702.0
Residential,Tier1,34839,19,Steel Frame,Standard,132,Difficult,189528000.0,729.0
Industrial,Tier1,9972,3,Load Bearing,Standard,132,Difficult,31582000.0,147.0
Commercial,Tier2,7454,17,RCC,Premium,120,Moderate,34511000.0,148.0
Infrastructure,Tier1,40460,10,Steel Frame,Premium,105,Moderate,295095000.0,773.0
Infrastructure,Tier3,4634,14,RCC,Basic,29,Moderate,6978000.0,372.0
Commercial,Tier2,16972,10,Prefabricated,Standard,147,Moderate,49248000.0,216.0
Residential,Tier3,33242,1,Load Bearing,Standard,72,Moderate,54780000.0,694.0
Commercial,Tier3,26384,3,Load Bearing,Standard,17,Moderate,41679000.0,1500.0
Industrial,Tier3,10882,5,RCC,Basic,115,Moderate,14435000.0,151.0
Residential,Tier1,24013,16,RCC,Premium,78,Easy,148258000.0,726.0
Industrial,Tier2,15625,18,Prefabricated,Premium,136,Difficult,95582000.0,270.0
Commercial,Tier2,14584,7,Steel Frame,Standard,106,Difficult,46542000.0,266.0
Commercial,Tier2,6407,17,RCC,Premium,104,Difficult,34336000.0,158.0
Infrastructure,Tier2,33287,11,Load Bearing,Basic,44,Difficult,59858000.0,1500.0
Infrastructure,Tier2,37553,19,Steel Frame,Standard,80,Easy,143652000.0,1076.0
Residential,Tier1,13461,13,RCC,Basic,71,Difficult,36970000.0,447.0
Residential,Tier2,36213,20,Steel Frame,Premium,106,Moderate,226809000.0,773.0
Residential,Tier2,5293,15,Load Bearing,Basic,74,Moderate,9291000.0,182.0
Infrastructure,Tier1,17678,4,RCC,Standard,45,Moderate,55871000.0,646.0
Infrastructure,Tier2,47516,2,Prefabricated,Standard,11,Moderate,127416000.0,1500.0
Industrial,Tier3,46595,3,Prefabricated,Standard,185,Moderate,101463000.0,315.0
Residential,Tier3,10178,17,RCC,Standard,125,Difficult,29733000.0,206.0
Industrial,Tier1,24777,16,Prefabricated,Basic,40,Easy,68493000.0,1231.0
Industrial,Tier3,24434,10,RCC,Standard,113,Moderate,51893000.0,442.0
Industrial,Tier3,31445,9,Load Bearing,Premium,149,Moderate,91143000.0,473.0
Industrial,Tier1,1155,14,Steel Frame,Standard,13,Easy,4729000.0,159.0
Infrastructure,Tier1,1858,8,Steel Frame,Standard,102,Moderate,8132000.0,33.0
Residential,Tier1,46709,4,Steel Frame,Basic,61,Difficult,130716000.0,1226.0
Residential,Tier1,19769,4,Steel Frame,Premium,72,Moderate,121049000.0,383.0
Commercial,Tier3,30847,18,Steel Frame,Premium,173,Difficult,149878000.0,497.0
Industrial,Tier1,19553,15,RCC,Premium,119,Moderate,130354000.0,431.0
Residential,Tier2,7427,8,Load Bearing,Premium,179,Moderate,28241000.0,80.0
Residential,Tier3,28184,9,Load Bearing,Basic,149,Easy,36029000.0,388.0
Commercial,Tier2,3485,6,Prefabricated,Standard,28,Easy,8979000.0,184.0
Commercial,Tier2,24702,9,Steel Frame,Premium,99,Difficult,146526000.0,479.0
